participantid,condition,session,conversation,onset,duration,within_speaker,speaker_prior_turn,speaker_subsequent_turn,type
subj-01,human,1,1,0.254,2.134,0,researcher,participant,silence
subj-01,human,1,1,3.577,0.26400000000000023,1,participant,participant,silence
subj-01,human,1,1,4.522,0.274,1,participant,participant,silence
subj-01,human,1,1,5.782,0.18799999999999972,0,participant,researcher,silence
subj-01,human,1,1,6.229,0.29499999999999993,0,researcher,participant,silence
subj-01,human,1,1,8.647,0.3249999999999993,0,participant,researcher,silence
subj-01,human,1,1,12.61,0.5080000000000009,0,participant,researcher,silence
subj-01,human,1,1,14.155,0.23300000000000054,1,researcher,researcher,silence
subj-01,human,1,1,17.528,0.28000000000000114,0,researcher,participant,silence
subj-01,human,1,1,18.839,0.45700000000000074,0,participant,researcher,silence
subj-01,human,1,1,20.495,0.24899999999999878,0,researcher,participant,silence
subj-01,human,1,1,23.32,1.0159999999999982,0,participant,researcher,silence
subj-01,human,1,1,28.619,0.5339999999999989,1,researcher,researcher,silence
subj-01,human,1,1,33.315,0.07000000000000028,0,participant,researcher,silence
subj-01,human,1,1,34.904,0.9549999999999983,1,researcher,researcher,silence
subj-01,human,1,1,36.428,2.068000000000005,0,researcher,participant,silence
subj-01,human,1,1,40.838,0.13100000000000023,1,researcher,researcher,silence
subj-01,human,1,1,45.98,1.0970000000000013,0,researcher,participant,silence
subj-01,human,1,1,47.814,0.41100000000000136,1,participant,participant,silence
subj-01,human,1,1,50.999,2.6729999999999947,1,participant,participant,silence
subj-01,human,1,1,54.149,1.2149999999999963,1,participant,participant,silence
subj-01,human,1,1,56.934,1.3500000000000014,0,participant,researcher,silence
subj-01,human,1,1,58.925,0.3100000000000023,1,researcher,researcher,silence
subj-01,human,1,1,9.232,0.33000000000000007,0,researcher,participant,speech
subj-01,human,1,1,29.986,0.1319999999999979,0,researcher,participant,speech
subj-01,human,1,1,30.519,0.5240000000000009,1,researcher,researcher,speech
subj-01,human,1,1,38.547,0.3610000000000042,0,participant,researcher,speech
subj-01,human,1,1,43.267,0.02999999999999403,0,researcher,participant,speech
subj-01,human,1,1,44.451,1.4879999999999995,0,participant,researcher,speech
subj-01,human,1,3,7.895,0.2240000000000002,1,researcher,researcher,silence
subj-01,human,1,3,10.781,0.6399999999999988,1,researcher,researcher,silence
subj-01,human,1,3,15.78,0.2580000000000009,0,researcher,participant,silence
subj-01,human,1,3,18.036,0.4269999999999996,1,participant,participant,silence
subj-01,human,1,3,20.759,0.5899999999999999,0,researcher,participant,silence
subj-01,human,1,3,22.526,0.30600000000000094,1,participant,participant,silence
subj-01,human,1,3,24.296,0.6600000000000001,1,participant,participant,silence
subj-01,human,1,3,26.927,0.6050000000000004,1,participant,participant,silence
subj-01,human,1,3,29.781,0.2560000000000002,1,participant,participant,silence
subj-01,human,1,3,31.449,0.5639999999999965,1,participant,participant,silence
subj-01,human,1,3,33.903,0.777000000000001,1,participant,participant,silence
subj-01,human,1,3,37.058,0.6000000000000014,0,participant,researcher,silence
subj-01,human,1,3,44.471,1.5190000000000055,0,researcher,participant,silence
subj-01,human,1,3,47.89,0.2359999999999971,0,participant,researcher,silence
subj-01,human,1,3,49.582,0.8840000000000003,0,researcher,participant,silence
subj-01,human,1,3,50.898,0.3299999999999983,0,participant,researcher,silence
subj-01,human,1,3,52.768,1.0060000000000002,0,researcher,participant,silence
subj-01,human,1,3,54.282,0.6960000000000051,1,participant,participant,silence
subj-01,human,1,3,57.299,0.2190000000000012,1,researcher,researcher,silence
subj-01,human,1,3,5.782,0.22299999999999986,0,participant,researcher,speech
subj-01,human,1,3,8.276,0.1479999999999997,1,participant,participant,speech
subj-01,human,1,3,11.482,0.7620000000000005,1,participant,participant,speech
subj-01,human,1,3,14.978,0.5180000000000007,1,participant,participant,speech
subj-01,human,1,3,19.23,0.7779999999999987,0,participant,researcher,speech
subj-01,human,1,5,5.579,0.3860000000000001,0,researcher,participant,silence
subj-01,human,1,5,6.757,0.28500000000000014,1,participant,participant,silence
subj-01,human,1,5,9.902,0.4170000000000016,0,participant,researcher,silence
subj-01,human,1,5,13.261,1.5740000000000016,1,researcher,researcher,silence
subj-01,human,1,5,19.378,0.4720000000000013,1,participant,participant,silence
subj-01,human,1,5,21.613,0.4009999999999998,1,participant,participant,silence
subj-01,human,1,5,25.914,0.17199999999999704,0,researcher,participant,silence
subj-01,human,1,5,27.139,0.490000000000002,1,researcher,researcher,silence
subj-01,human,1,5,28.624,0.3049999999999997,1,researcher,researcher,silence
subj-01,human,1,5,31.612,0.6149999999999984,1,researcher,researcher,silence
subj-01,human,1,5,36.335,0.1490000000000009,1,researcher,researcher,silence
subj-01,human,1,5,38.176,0.9549999999999983,1,researcher,researcher,silence
subj-01,human,1,5,41.403,0.7210000000000036,0,researcher,participant,silence
subj-01,human,1,5,42.464,0.2640000000000029,1,participant,participant,silence
subj-01,human,1,5,45.939,0.09700000000000131,0,participant,researcher,silence
subj-01,human,1,5,46.447,0.25900000000000034,1,researcher,researcher,silence
subj-01,human,1,5,48.093,0.19299999999999784,0,participant,researcher,silence
subj-01,human,1,5,50.288,0.3610000000000042,0,researcher,participant,silence
subj-01,human,1,5,52.991,0.6099999999999994,1,participant,participant,silence
subj-01,human,1,5,54.536,0.41100000000000136,1,participant,participant,silence
subj-01,human,1,5,55.775,0.09700000000000131,0,participant,researcher,silence
subj-01,human,1,5,57.686,0.32500000000000284,1,researcher,researcher,silence
subj-01,human,1,5,3.968,0.7569999999999997,0,participant,researcher,speech
subj-01,human,1,5,4.949,0.42600000000000016,1,participant,participant,speech
subj-01,human,1,5,15.003,0.06600000000000072,0,researcher,participant,speech
subj-01,human,1,5,23.6,0.5529999999999973,0,participant,researcher,speech
subj-01,human,1,5,26.099,0.49299999999999855,0,participant,researcher,speech
subj-01,human,1,5,48.993,1.2139999999999986,1,participant,participant,speech
